程序开始>>>>>>
[ZslCustomsAssist.SPSecure.SPSecureAPI-SpcGetErrMsg][374][INFO][1] 2024-06-13 11:25:08,793--E-PortMsg--==：获取申请者名称成功！
[ZslCustomsAssist.SPSecure.SPSecureAPI-SpcGetErrMsg][370][INFO][1] 2024-06-13 11:25:08,794--【获取单位代码0】提示信息！
[ZslCustomsAssist.SPSecure.SPSecureAPI-SpcGetErrMsg][374][INFO][1] 2024-06-13 11:25:08,794--E-PortMsg--==：获取单位代码成功！
[ZslCustomsAssist.SPSecure.SPSecureAPI-SpcGetErrMsg][370][INFO][1] 2024-06-13 11:25:08,794--【获取单位名称0】提示信息！
[ZslCustomsAssist.SPSecure.SPSecureAPI-SpcGetErrMsg][374][INFO][1] 2024-06-13 11:25:08,794--E-PortMsg--==：获取单位名称成功！
[ZslCustomsAssist.SPSecure.SPSecureAPI-SpcGetErrMsg][370][INFO][1] 2024-06-13 11:25:08,795--【获取单位类别0】提示信息！
[ZslCustomsAssist.SPSecure.SPSecureAPI-SpcGetErrMsg][374][INFO][1] 2024-06-13 11:25:08,795--E-PortMsg--==：获取单位类别成功！
[ZslCustomsAssist.SPSecure.SPSecureAPI-SpcGetErrMsg][370][INFO][1] 2024-06-13 11:25:08,795--【获取卡签名证书0】提示信息！
[ZslCustomsAssist.SPSecure.SPSecureAPI-SpcGetErrMsg][374][INFO][1] 2024-06-13 11:25:08,795--E-PortMsg--==：获取卡签名证书成功！
[ZslCustomsAssist.Jobs.SynchronousConfigurationJob-SynchronousConfigurationStart][71][INFO][1] 2024-06-13 11:25:08,982--本次同步配置共耗时：0.173s
[ZslCustomsAssist.FormMain-FormMain_Load][337][INFO][1] 2024-06-13 11:25:09,002--客户端启动中...
[ZslCustomsAssist.FormMain-StartThreads][199][INFO][1] 2024-06-13 11:25:09,011--开启请求报文服务！
[ZslCustomsAssist.FormMain-StartThreads][205][INFO][1] 2024-06-13 11:25:09,017--开启报文发送服务！
[ZslCustomsAssist.FormMain-StartThreads][211][INFO][1] 2024-06-13 11:25:09,019--开启回执接收任务！
[ZslCustomsAssist.Jobs.ReportSendJob-OnDoJob][49][DEBUG][15] 2024-06-13 11:25:10,039--报文发送业务线程，开始!
[ZslCustomsAssist.Jobs.ReportSendJob-CtrlReportSendThreads][60][INFO][15] 2024-06-13 11:25:10,040--开始处理报文发送业务，预计开启线程数：10
程序关闭!!!!!!
